vendor,sending_zip,receiving_zip,vendor_A_pricing
vendor_A,22001,1001,13
vendor_A,22009,1001,13
vendor_A,23589,1001,13
vendor_A,22001,1002,13
vendor_A,22009,1002,13
vendor_A,23589,1002,13
vendor_A,22001,1003,13
vendor_A,22009,1003,13
vendor_A,23589,1003,13
vendor_A,22001,1005,14
vendor_A,22009,1005,14
vendor_A,23589,1005,14
vendor_A,22001,1007,13
vendor_A,22009,1007,13
vendor_A,23589,1007,13
vendor_A,22001,1010,13
vendor_A,22009,1010,13
vendor_A,23589,1010,13
vendor_A,22001,1013,13
vendor_A,22009,1013,13
vendor_A,23589,1013,13
vendor_A,22001,1020,13
vendor_A,22009,1020,13
vendor_A,23589,1020,13
vendor_A,22001,1027,13
vendor_A,22009,1027,13
vendor_A,23589,1027,13
vendor_A,22001,1028,13
vendor_A,22009,1028,13
vendor_A,23589,1028,13
vendor_A,22001,1030,13
vendor_A,22009,1030,13
vendor_A,23589,1030,13
vendor_A,22001,1033,13
vendor_A,22009,1033,13
vendor_A,23589,1033,13
vendor_A,22001,1035,11
vendor_A,22009,1035,11
vendor_A,23589,1035,11
vendor_A,22001,1037,13
vendor_A,22009,1037,13
vendor_A,23589,1037,13
vendor_A,22001,1040,13
vendor_A,22009,1040,13
vendor_A,23589,1040,13
vendor_A,22001,1053,13
vendor_A,22009,1053,13
vendor_A,23589,1053,13
vendor_A,22001,1056,13
vendor_A,22009,1056,13
vendor_A,23589,1056,13
vendor_A,22001,1057,13
vendor_A,22009,1057,13
vendor_A,23589,1057,13
vendor_A,22001,1060,13
vendor_A,22009,1060,13
vendor_A,23589,1060,13
vendor_A,22001,1062,13
vendor_A,22009,1062,13
vendor_A,23589,1062,13
vendor_A,22001,1063,13
vendor_A,22009,1063,13
vendor_A,23589,1063,13
vendor_A,22001,1068,13
vendor_A,22009,1068,13
vendor_A,23589,1068,13
vendor_A,22001,1069,14
vendor_A,22009,1069,14
vendor_A,23589,1069,14
vendor_A,22001,1075,12
vendor_A,22009,1075,12
vendor_A,23589,1075,12
vendor_A,22001,1077,14
vendor_A,22009,1077,14
vendor_A,23589,1077,14
vendor_A,22001,1081,13
vendor_A,22009,1081,13
vendor_A,23589,1081,13
vendor_A,22001,1082,13
vendor_A,22009,1082,13
vendor_A,23589,1082,13
vendor_A,22001,1085,13
vendor_A,22009,1085,13
vendor_A,23589,1085,13
vendor_A,22001,1089,13
vendor_A,22009,1089,13
vendor_A,23589,1089,13
vendor_A,22001,1093,13
vendor_A,22009,1093,13
vendor_A,23589,1093,13
vendor_A,22001,1095,13
vendor_A,22009,1095,13
vendor_A,23589,1095,13
vendor_A,22001,1104,13
vendor_A,22009,1104,13
vendor_A,23589,1104,13
vendor_A,22001,1106,13
vendor_A,22009,1106,13
vendor_A,23589,1106,13
vendor_A,22001,1109,13
vendor_A,22009,1109,13
vendor_A,23589,1109,13
vendor_A,22001,1118,13
vendor_A,22009,1118,13
vendor_A,23589,1118,13
vendor_A,22001,1119,13
vendor_A,22009,1119,13
vendor_A,23589,1119,13
vendor_A,22001,1128,13
vendor_A,22009,1128,13
vendor_A,23589,1128,13
vendor_A,22001,1201,13
vendor_A,22009,1201,13
vendor_A,23589,1201,13
vendor_A,22001,1222,13
vendor_A,22009,1222,13
vendor_A,23589,1222,13
vendor_A,22001,1223,13
vendor_A,22009,1223,13
vendor_A,23589,1223,13
vendor_A,22001,1230,13
vendor_A,22009,1230,13
vendor_A,23589,1230,13
vendor_A,22001,1235,13
vendor_A,22009,1235,13
vendor_A,23589,1235,13
vendor_A,22001,1238,13
vendor_A,22009,1238,13
vendor_A,23589,1238,13
vendor_A,22001,1240,13
vendor_A,22009,1240,13
vendor_A,23589,1240,13
vendor_A,22001,1247,13
vendor_A,22009,1247,13
vendor_A,23589,1247,13
vendor_A,22001,1254,13
vendor_A,22009,1254,13
vendor_A,23589,1254,13
vendor_A,22001,1255,13
vendor_A,22009,1255,13
vendor_A,23589,1255,13
vendor_A,22001,1257,13
vendor_A,22009,1257,13
vendor_A,23589,1257,13
vendor_A,22001,1258,13
vendor_A,22009,1258,13
vendor_A,23589,1258,13
vendor_A,22001,1259,13
vendor_A,22009,1259,13
vendor_A,23589,1259,13
vendor_A,22001,1266,13
vendor_A,22009,1266,13
vendor_A,23589,1266,13
vendor_A,22001,1267,13
vendor_A,22009,1267,13
vendor_A,23589,1267,13
vendor_A,22001,1301,13
vendor_A,22009,1301,13
vendor_A,23589,1301,13
vendor_A,22001,1330,13
vendor_A,22009,1330,13
vendor_A,23589,1330,13
vendor_A,22001,1342,13
vendor_A,22009,1342,13
vendor_A,23589,1342,13
vendor_A,22001,1351,13
vendor_A,22009,1351,13
vendor_A,23589,1351,13
vendor_A,22001,1354,13
vendor_A,22009,1354,13
vendor_A,23589,1354,13
vendor_A,22001,1370,13
vendor_A,22009,1370,13
vendor_A,23589,1370,13
vendor_A,22001,1375,13
vendor_A,22009,1375,13
vendor_A,23589,1375,13
vendor_A,22001,1376,13
vendor_A,22009,1376,13
vendor_A,23589,1376,13
vendor_A,22001,1420,13
vendor_A,22009,1420,13
vendor_A,23589,1420,13
vendor_A,22001,1430,13
vendor_A,22009,1430,13
vendor_A,23589,1430,13
vendor_A,22001,1432,13
